Period,Repo rate,Corp Mortgage Flex rate balance,Corp Mortgage Fixed rate balance,Corp flex%,Corp fix%,Corp Mortgage Flex rate,Corp Mortgage Fix rate,HH Mortgage Flex rate balance,HH Mortgage Fix rate Balance,HH flex%,HH fix%,HH Mortgage Flex rate,HH Mortgage Fix rate,HH New Mortgage Flex balance,HH New Mortgage Fix balance,HH new flex%,HH New Mortgage Flex rate,HH New Mortgage Fix rate
02-Nov,13.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
02-Dec,13.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Jan,13.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Feb,13.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Mar,13.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Apr,13.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-May,13.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Jun,12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Jul,12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Aug,11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Sep,10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Oct,8.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Nov,8.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
03-Dec,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Jan,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Feb,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Mar,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Apr,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-May,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Jun,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Jul,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Aug,7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Sep,7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Oct,7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Nov,7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
04-Dec,7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Jan,7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Feb,7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Mar,7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Apr,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-May,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Jun,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Jul,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Aug,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Sep,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Oct,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Nov,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
05-Dec,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Jan,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Feb,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Mar,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Apr,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-May,7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Jun,7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Jul,7.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Aug,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Sep,8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Oct,8.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Nov,8.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
06-Dec,9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Jan,9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Feb,9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Mar,9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Apr,9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-May,9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Jun,9.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Jul,9.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Aug,10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Sep,10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Oct,10.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Nov,10.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
07-Dec,11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
08-Jan,11,125263.5369,7940.62292,94.03875755,5.96124245,12.66,11.81,596160.4555,6957.31072,98.84644242,1.153557582,13.09,11.99,None,None,None,None,None
08-Feb,11,120435.3503,6842.5534,94.6239267,5.376073301,12.36,11.77,613604.0641,7820.2129,98.74156624,1.258433761,13.04,11.92,None,None,None,None,None
08-Mar,11,143731.6562,7374.58567,95.11960222,4.880397779,12.42,11.73,615127.5302,8124.42962,98.6964454,1.303554604,13.02,11.95,None,None,None,None,None
08-Apr,11.5,126471.2207,7540.53802,94.37322658,5.62677342,12.48,11.96,621082.5586,7872.00662,98.74839821,1.251601794,13.2,12.15,None,None,None,None,None
08-May,11.5,163121.542,10812.45203,93.78358895,6.216411055,13.64,11.87,640800.3793,10179.8194,98.4362321,1.563767903,13.38,12.44,None,None,None,None,None
08-Jun,12,166570.4208,11511.53956,93.53581938,6.464180615,13.97,12.51,643866.4647,11211.18422,98.28857171,1.711428292,13.8,13.04,None,None,None,None,None
08-Jul,12,138058.3639,8727.18075,94.05446853,5.945531468,12.87,13,632202.527,12195.48121,98.10746137,1.892538626,13.91,13.41,None,None,None,None,None
08-Aug,12,135702.8781,8013.23,94.42426454,5.575735458,13.98,12.57,636096.2661,11745.10221,98.18704041,1.812959589,13.91,13.43,None,None,None,None,None
08-Sep,12,176443.1733,12046.95911,93.60870569,6.391294312,12.19,12.58,666827.2648,12242.69414,98.19713802,1.802861985,13.84,13.22,None,None,None,None,None
08-Oct,12,142351.2626,8321.103,94.47735292,5.522647079,13.97,12.6,647015.0745,12065.58145,98.16933158,1.830668423,13.9,13.57,None,None,None,None,None
08-Nov,12,176834.032,12195.72,93.54825372,6.451746282,14.08,12.32,648670.9431,11943.4697,98.19206644,1.807933564,13.9,13.6,None,None,None,None,None
08-Dec,11.5,183811.6631,9725.71039,94.97476368,5.025236322,13.7,12.69,672817.4064,11356.1283,98.34016843,1.659831567,13.37,13.29,None,None,None,None,None
09-Jan,11.5,178732.9811,10953.719,94.22536267,5.774637335,13.76,12.49,675909.6721,11896.0732,98.27043125,1.729568745,13.37,13.3,None,None,None,None,None
09-Feb,10.5,185741.0587,11229.79788,94.29875156,5.701248437,13.04,12.74,681115.7936,10097.78744,98.53912196,1.460878044,12.59,13.3,None,None,None,None,None
09-Mar,9.5,179775.408,11565.604,93.95550181,6.044498187,12.16,12.39,682377.8131,12232.76133,98.23890367,1.761096329,11.81,12.97,None,None,None,None,None
09-Apr,9.5,180874.1534,11328.785,94.10582112,5.89417888,12.18,12.34,686788.5279,10849.4477,98.44483126,1.555168738,11.59,12.99,None,None,None,None,None
09-May,7.5,179032.5963,11889.596,93.77254375,6.227456251,9.48,12.29,695751.5318,10309.96214,98.53979261,1.460207394,9.65,12.98,None,None,None,None,None
09-Jun,7.5,281549.0346,14039.04406,95.25047014,4.749529861,9.99,12.53,593627.71,10065.24227,98.33272159,1.667278412,9.65,12.61,None,None,None,None,None
09-Jul,7.5,256123.4988,5986.86085,97.71590072,2.284099285,10.99,12.95,600033.6756,9854.91,98.38414585,1.615854147,9.65,12.78,None,None,None,None,None
09-Aug,7,179858.6508,12354.846,93.5723317,6.4276683,9.71,12.31,705017.8532,11524.73467,98.39161902,1.608380976,9.64,13.24,None,None,None,None,None
09-Sep,7,179984.4392,12736.463,93.39123943,6.608760574,9.72,12.31,697133.8231,12978.79164,98.17229107,1.827708926,9.57,12.81,None,None,None,None,None
09-Oct,7,177855.0632,13167.969,93.10660665,6.893393349,9.78,12.29,699553.9559,12690.62862,98.21822041,1.781779587,9.65,12.78,None,None,None,None,None
09-Nov,7,180327.2152,14493.144,92.56076518,7.439234823,9.79,12.26,691156.2916,12534.06192,98.21881004,1.781189959,9.15,12.77,None,None,None,None,None
09-Dec,7,180049.2304,14009.724,92.78068665,7.219313351,9.83,11.86,697183.2364,10062.87445,98.577175,1.422824996,9.13,12.78,None,None,None,None,None
10-Jan,7,180437.9199,24484.174,88.05195988,11.94804012,9.85,11.53,699381.9525,12366.40385,98.26253145,1.73746855,9.21,11.5,None,None,None,None,None
10-Feb,7,117437.3048,13847.322,89.45244212,10.54755788,9.78,11.88,578609.2249,9752.12988,98.34249313,1.657506871,9.11,12.73,None,None,None,None,None
10-Mar,6.5,86810.44972,9978.83224,89.69014746,10.30985254,9.27,11.98,558533.329,8876.94305,98.4355336,1.564466399,8.84,12.31,None,None,None,None,None
10-Apr,6.5,109682.9193,4099.30628,96.39723493,3.602765072,9.23,12.25,342273.2215,7251.5916,97.92529991,2.074700087,8.52,12.68,None,None,None,None,None
10-May,6.5,187594.0049,24384.03346,88.49690579,11.50309421,9.23,11.97,706603.4968,9308.39059,98.69978544,1.300214559,8.73,12.77,None,None,None,None,None
