Date,Banks,Sector,Balance on Flexible rate,Balance on Fixed rate,Fixed_share,Flexible_share,Flexible_share_binary
2008-01-01T00:00:00Z,Total Banks,Household sector,603363218.47,7580969.72,1.2408612548487592,98.75913874515123,Yes
2008-02-01T00:00:00Z,Total Banks,Household sector,617985605.92,7727347.68,1.234966870278327,98.76503312972169,Yes
2008-03-01T00:00:00Z,Total Banks,Household sector,622632605.21,8798571.62,1.3934331947579515,98.60656680524204,Yes
2008-04-01T00:00:00Z,Total Banks,Household sector,628764420.55,8531887.62,1.3387630699602457,98.66123693003975,Yes
2008-05-01T00:00:00Z,Total Banks,Household sector,648083104.3,11407620.4,1.7297620683276913,98.27023793167231,Yes
2008-06-01T00:00:00Z,Total Banks,Household sector,649660593.66,14353960.22,2.1616936159194537,97.83830638408054,Yes
2008-07-01T00:00:00Z,Total Banks,Household sector,638270434.01,15370499.21,2.351520296362262,97.64847970363773,Yes
2008-08-01T00:00:00Z,Total Banks,Household sector,641220483.08,15972019.21,2.4303410575052498,97.56965894249474,Yes
2008-09-01T00:00:00Z,Total Banks,Household sector,672120906.76,16529333.14,2.400250835954149,97.59974916404586,Yes
2008-10-01T00:00:00Z,Total Banks,Household sector,652375816.53,16324402.45,2.4412138633512606,97.55878613664873,Yes
2008-11-01T00:00:00Z,Total Banks,Household sector,657759051.05,16336886.7,2.4235254635310994,97.5764745364689,Yes
2008-12-01T00:00:00Z,Total Banks,Household sector,676901775.41,17487811.3,2.5184437720123083,97.4815562279877,Yes
2008-01-01T00:00:00Z,ABSA,Household sector,176950228,3452176,1.9135975593762042,98.0864024406238,Yes
2008-02-01T00:00:00Z,ABSA,Household sector,178821153,3709773,2.0324079219320894,97.96759207806791,Yes
2008-03-01T00:00:00Z,ABSA,Household sector,178074190,3880810,2.1328405374955346,97.86715946250446,Yes
2008-04-01T00:00:00Z,ABSA,Household sector,179650191,4242520,2.3070626219654784,97.69293737803451,Yes
2008-05-01T00:00:00Z,ABSA,Household sector,180819361,4846025,2.610085328452122,97.38991467154788,Yes
2008-06-01T00:00:00Z,ABSA,Household sector,179620143,6087607,3.2780575931806832,96.72194240681932,Yes
2008-07-01T00:00:00Z,ABSA,Household sector,179596081,6671763,3.581811469294722,96.41818853070528,Yes
2008-08-01T00:00:00Z,ABSA,Household sector,180567322,6746941,3.601936602126235,96.39806339787377,Yes
2008-09-01T00:00:00Z,ABSA,Household sector,181839076,6750828,3.579633828118392,96.42036617188161,Yes
2008-10-01T00:00:00Z,ABSA,Household sector,183208831,6775907,3.566553330194344,96.43344666980566,Yes
2008-11-01T00:00:00Z,ABSA,Household sector,184622005,6724655,3.5143832664756207,96.48561673352438,Yes
2008-12-01T00:00:00Z,ABSA,Household sector,184920690,6550097,3.420938046282747,96.57906195371724,Yes
2008-01-01T00:00:00Z,First_Rand,Household sector,113328136.47,1136971.72,0.993291089292247,99.00670891070776,Yes
2008-02-01T00:00:00Z,First_Rand,Household sector,120768466.92,1042964.68,0.8562124804713321,99.14378751952866,Yes
